검색키워드,검색범위,사례명,사례내용,답변,담당부서,관련법령,날짜
기후 변화,제목,소방관 채용 할 때는 기후변화 반영해주세요,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 : 1AA-1912-643177)에 대하여 다음과 같이 답변 드립니다. 2. 귀하의 민원내용은 기후변화, 실외기 먼지 화재, 용접 화재 등을 채용시험에 포함해 달라는 것으로 이해됩니다. 3. 귀하께서 건의해주신 바와 같이 소방공무원 채용시험 시 각종 화재에 전문성 있는 시험과목을 포함하는 방안을 강구하도록 노력하겠습니다. 4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 소방청 운영지원과 소방경 OOO(☎ OOO-OOO-OOOO)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-01-07",소방청 운영지원과,기타,2020-01-07
기후 변화,내용,탄소배출권 관련 문의입니다.,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.  2. 귀하의 민원내용은‘탄소배출권 관련 자료 요청'에 관한 것으로 판단됩니다.  3. 귀하의 질의사항에 대해 한국동서발전(주)에서 검토한 의견은 다음과 같습니다. 가. 한국동서발전 연도별 탄소배출권 할당량 및 배출량(단위 : 만톤) - 2016년 : 할당량 4,152, 배출량 3,974 - 2017년 : 할당량 3,967, 배출량 3,858 - 2018년 : 할당량 3,962 배출량 3,952 - 2019년 이후 : 배출권 거래제 이행중 ※ 탄소배출권 관련 별도 납부 금액은 없으며 한국동서발전(주)는 배출권 거래제 관련한 의무를 100% 이행중 나. 이와 별개로 탄소배출권과 관련한 배출권 총수량, 할당량, 취소량, 제출량 등은 배출권등록부시스템 정보공개(http://etrs.gir.go.kr)에서 확인이 가능합니다.  4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 한국동서발전(주) 기후환경실 기후변화대책부(☏OOO-OOOO-OOOO)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-07-27",한국동서발전 감사실,기타,2020-07-27
기후 변화,내용,소방관 채용 할 때는 기후변화 반영해주세요,,"1. 안녕하십니까? 귀하께서 국민신문고를 통해 신청하신 민원(신청번호 : 1AA-1912-643177)에 대하여 다음과 같이 답변 드립니다. 2. 귀하의 민원내용은 기후변화, 실외기 먼지 화재, 용접 화재 등을 채용시험에 포함해 달라는 것으로 이해됩니다. 3. 귀하께서 건의해주신 바와 같이 소방공무원 채용시험 시 각종 화재에 전문성 있는 시험과목을 포함하는 방안을 강구하도록 노력하겠습니다. 4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 소방청 운영지원과 소방경 OOO(☎ OOO-OOO-OOOO)에게 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 2020-01-07",소방청 운영지원과,기타,2020-01-07
기후 변화,제목,기후변화 대응으로 태양광제도를 변경해야 합니다.,,"1. 안녕하십니까. 한국에너지공단 태양광사업실입니다.  2. 귀하의 민원(신청번호 OOO-OOOO-OOOOOOO)은 옥상, 농수로 등 유휴부지를 활용한 태양광 보급확대를 제안해주신 사항으로 이해됩니다. 이에 귀하께서 문의하신 내용에 대하여 다음과 같이 알려 드립니다.  ㅇ 한국수자원공사는 경남 합천댐 등 공유수면을 활용한 수상태양광 사업을 추진 중이며, 이를 더욱 확대해나갈 예정입니다.  ㅇ 또한, 모기관에서 농업 용배수로를 활용한 태양광 사업을 검토 중인 것으로 확인됩니다. 상세 내용은 확정된 사안이 없으므로 세부적으로 전달하기 어려운 점을 양해 바랍니다.  ㅇ 한국에너지공단과 한국산업단지공단은 산업단지 태양광 융자지원 사업을 통해 공장 지붕 위 태양광 발전설비 보급 확대를 지원하고 있습니다.  ㅇ 이처럼 다수의 유관 기관이 유휴부지를 활용한 여러 사업을 통해 태양광 발전 보급에 노력을 기울이고 있습니다.  ㅇ 신ㆍ재생에너지 보급 확대에 대한 귀하의 관심과 제안에 감사드리며, 탄소 중립 이행을 위해 앞으로 더욱 다양한 방안을 마련할 수 있도록 힘쓰겠습니다.  3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우, 한국에너지공단 태양광사업실(OOO-OOO-OOOO)로 연락해주시면 상세히 안내 드리겠습니다. 감사합니다. 2021-08-13",한국에너지공단 신재생에너지센터 태양광사업실,신에너지 및 재생에너지 개발ㆍ이용ㆍ보급 촉진법 / 제4조(시책과 장려 등),2021-08-13
기후 변화,제목,기후변화 적응대책,동래구 기후변화 적응대책 수립은 어떤식으로 이루어지나요?,"▷ 근 거 :「저탄소 녹색성장 기본법」제48조, 같은법 시행령 38조 ❍ 소관사항에 대하여 세부시행계획 수립․시행   ▷ 목 적 ❍ 기후변화로 인해 발생하는 부정적인 영향을 줄이고 긍정적인 영향을 극대화하기 위한 지역차원의 법정계획 수립 ❍ 기후변화 악영향으로 예상되는 재난 등 예방(적응) 대책 마련   ▷ 계획기간 : 5년(‘20. 1. 1. ~ ‘24. 12. 31.) ➢ 국가기후변화 적응대책 연동 5년 단위 추진   ▷ 적응대책(시행계획) : 5개 부문, 29개 세부사업 ❍ 건강 8개 사업, 물관리 2개 사업, 재난/재해 8개 사업,    산림/생태계 9개 사업, 교육/홍보 2개 사업         2021-07-27",부산광역시 동래구 문화환경국 환경위생과,저탄소 녹색성장 기본법 / 제48조(기후변화 영향평가 및 적응대책의 추진),2021-07-27
기후 변화,제목,기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,안녕하세요. 우리들이 흔히 기후는 변하고 이산화탄소 때문에 지구의 온도가 상승한다고 말을 하는데 그럼 기후는 왜 변화고 이산화탄소는 어디에서 오는 것일까?,"안녕하세요. 기상청 업무에 관심을 가져 주셔서 감사합니다. 현재 우리는 이산화탄소의 농도 증가와 이로 인한 기후변화를 염려하고 있습니다.   그러면 기후는 왜 변할까? 기후변화의 원인에는 여러가지로 나누어질 수 있습니다.  (1) 태양으로부터 지구에 도달하는 태양에너지의 변화와 화산활동 등 자연적인 변화와  (2) 인간의 활동에 의한 온실가스 배출 등이 있습니다. 자연적인 원인이던, 인위적인 원인이던 이산화탄소의 농도 증가와 지구의 온도 상승은 직접적인 상관성이 있습니다.   그럼 현재 지구상에 이산화탄소는 어디서 오는 것일까? 이산화탄소의 근원지는  (1) 바다 밑의 화산활동,  (2) 플랑크톤의 호흡,  (3) 바다 속 생물체의 용해,  (4) 육상암석의 풍화작용,  (5) 바다 속의 흙(퇴적물),  (6) 인간의 화석연료 사용등 다양합니다.   다만 최근 기후변화(전지구평균기온의 급격한 상승)는 산업혁명 이후 인간이 배출한 온실가스(이산화탄소 등)가 원인입니다.(IPCC 제5차 평가보고서, 과학적 근거, 2013) 인간이 화석연료를 사용할 때 나오는 이산화탄소는 온실효과를 일으켜 지구의 기온을 상승시키기 때문입니다.   항상 기상청에 관심을 가져 주셔서 진심으로 감사 드리며 언제나 행복과 즐거움이 가득하길 바랍니다. 그 밖의 궁금하신 사항에 대해서는 언제든지 담당자에게 문의해 주시면 성심성의껏 답변 드리겠습니다. * 담당자 : 기후과학국 기후변화감시과, Tel.02-2181-0645   2021-05-18",기상청 기후과학국 기후변화감시과,기상법 / 제21조(기후감시 및 영향조사 등),2021-05-18
기후 변화,제목,기후변화 시나리오는 무엇인가요?,기후변화시나리오는 무엇인가요?,"안녕하세요, 기상청 업무에 관심을 가져 주셔서 감사합니다. “현재 추세대로 온실가스를 배출한다면 2100년의 기후는 어떻게 될까?”, “기온과 강수량은 얼마나 변하며, 이로 인한 영향은 어느 정도일까?” 기상청은 이런 질문에 대한 예측 정보를 생산하고 있습니다. 이것이 바로 기후변화 시나리오입니다. 이는 온실가스, 에어로졸의 변화 등 인위적인 원인에 따른 기후변화를 조사하기 위해 기후변화모델을 이용하여 기온, 강수, 습도, 바람 등 미래기후를 예측한 정보입니다. 기후변화 시나리오는 온실가스 증가추세에 따라 네 가지 경우로 구분해서 만들어집니다. 이 중 온실가스를 현재 추세대로 배출하는 RCP(Representative Concentration Pathways) 8.5의 경우 21세기 말 이산화탄소 농도가 940ppm에 도달한다면, 현재(1981~2010년)보다 지구의 기온은 4.0℃, 한반도의 기온은 4.7℃ 오르고 지구의 강수량은 4.5%, 한반도의 강수량은 13.1% 증가합니다. 이와 같이 예측된 시나리오는 식량 생산, 병해충 발생, 수자원 관리, 산림 생태계 변화, 재해 등 여러 분야에서 피해를 최소화하고 미래를 준비하는데 유용하게 활용됩니다. 그 밖에 궁금하신 사항이 있으시면 언제든지 문의해 주시면 성심성의껏 답변 드리겠습니다. 감사합니다. 담당자 : 부산지방기상청 기후서비스과, 전화 051-718-0421   2021-05-14",기상청 부산지방기상청 기후서비스과,"기상법 / 제21조(기후감시 및 영향조사 등)
기상법 / 제2조(정의)",2021-05-14
기후 변화,제목,기후변화의 과학적 근거는 무엇인가요?,기후변화의 과학적 근거는 무엇인가요?,"기후변화의 과학적 근거는 여러가지가 있지만, 그 중 가장 대표적인 것들에 대해 말씀드리겠습니다. 2014년 11월 1일 승인된 IPCC 제5차 평가보고서에 의하면,  ○ 전지구 평균기온은 지난 133년간(1880~2012년) 0.85℃(0.65~1.06℃) 상승하였으며,     평균 해수면은 110년간(1901~2010년) 19cm(17~21cm) 상승하였습니다.  ○ 지구의 평균기온은 1850년 이래 지난 30년(1983~2012년) 동안이 가장 더웠습니다.  ○ 지구의 빙상과 빙하의 양은 줄고 있으며, 지난 34년(1979~2012) 동안 북극 해빙은 연평균 면적이    10년에 3.5~4.1%의 비율로 감소하였습니다.    ○  기후변화에 따라 해양 고수온 강도와 일수 또한 뚜렷히 증가(1982년 이후 2배 증가)하였습니다.     * IPCC 해양 및 빙권 특별보고서(2019)  더 궁금하신 사항이 있으시면 기상청 기후정책과(02-2181-0404)로 연락주시면 친절히 안내해 드리겠습니다. 2021-05-14",기상청 기후과학국 기후정책과,기상청과 그 소속기관 직제 시행규칙 / 제8조(기후과학국),2021-05-14
기후 변화,내용,충북지역 맞춤형 기상기후정보,충북지역 맞춤형 기상기후정보에는 어떤게 있나요?,"안녕하세요? 평소 기상업무에 관심을 가져주셔서 감사드리며, 귀하의 질문에 답변을 드리도록 하겠습니다.   기후변화에 따른 각 산업분야별 적응능력 향상을 통해 지역경제 활성화에 기여하고자 청주기상지청 기후서비스과에서는 ‘ONE지자체-ONE서비스‘라는 지자체별 맞춤형 기상기후서비스를 제공하고 있습니다.   현재 충청북도의 6개 시·군(증평군, 단양군, 옥천군, 괴산군, 보은군, 충주시)을 대상으로 증평 농업방제 기상기후정보, 단양 Healbeing 기상기후정보, 옥천 농업방제 기상기후정보, 괴산 유기농업군 맞춤형기상기후정보, 황토대추 생산성 향상을위한 기상기후정보, 충주 에코-그린 기상기후정보를 제공하고 있습니다. 모든 서비스는 각 지자체 홈페이지 및 청주기상지청 블로그(청주 기후樂) 에서 쉽게 확인 하실 수 있습니다.   그 밖에 궁금하신 사항은 청주기상지청 기후서비스과(070-7850-4386)로 문의해주시면 언제든지 성심성의껏 답변 드리도록 하겠습니다. 2021-12-28",기상청 대전지방기상청 청주기상지청 기후서비스과,기상법 / 제34조(기상현상 및 기후 분야에 관한 지식보급),2021-12-28
기후 변화,내용,기후와 날씨 차이,기후와 날씨는 다른 의미인가요?,"  기후와 날씨는 비슷한 의미로 사용되는 것 같지만, 동일한 개념은 아닙니다. 기후는 어떤 지역에서 규칙적으로 되풀이되는 일정 기간의 평균적인 기상 상황으로, 대기의 종합 상태 또는 대기 현상의 적분 결과라고 할 수 있습니다. 따라서 기후는 장소에 따라 달라지지만 같은 장소에서는 일정한 것이 보통입니다. 그러나 기후도 엄밀히 말하면 일정한 것이 아니고 수십 년 또는 수백 년이라는 긴 주기를 가지고 변화되어 갑니다. 세계기상기구에서는 30년 동안의 평균값을 기준으로 삼고 있습니다. 반면 날씨는 특정 지역에서 임의의 때에 나타나는 종합적인 기상 상태를 말합니다. 보통 기압?기온?습도?바람?구름의 양?구름의 형태?강수량?일조 등으로 표시하고 있습니다. 국내외에서 교환되는 일정 시각에 관한 일기예보에는 이 요소들이 대부분 포함되어 있습니다. 또한 국제적인 일기도에서는 세계기상기구에서 정한, 구름이 없는 '00' 상태에서부터 천둥이 치는 '99'까지 100종류의 기호로 표시하고 있습니다. 2021-12-23",기상청 수도권기상청 기후서비스과,기타,2021-12-23
