검색키워드,검색범위,시작일,단계,참여인원,제목,날짜,좋아요개수,댓글개수,본문내용,참여기간,관련주제,관련지역,태그,댓글내용
기후 변화,제목,2021-08-03,종료,2,기후 변화에 대응하기 위해 준비할 것들,2021.08.03,2,2,"지구의 평균 온도가 상승하면서
폭우, 폭염 등 이상기후 현상이 연이어 발생하는 등
기후 위기에 직면한 상황입니다.
 
기후 변화와 이상 기후 현상에 대응하기 위해
대전 서구에서는 어떤 대책을 준비해야 할까요?",2021-08-03~2021-08-16,환경>기후·기상,,#이상기후 #기후변화 #지구온난화 #환경문제,
기후 변화,제목,2019-07-25,종료,2,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.08.20,4,2,"청주시의 기후 변화 적응 및 대응을 위한 정책 방향에 대해 여러 의견을 제시해주셨는데, 시민들의 참여를 높이고 체감할 수 있는 기후변화정책에는 어떠한 것들이 필요할까요? 많은 분들의 다양한 의견을 듣겠습니다.",2019-08-20~2020-03-03,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,제목,2019-07-25,종료,0,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.08.20,0,0,"청주시의 기후 변화 적응 및 대응을 위한 정책 방향에 대해 여러 의견을 제시해주셨는데, 시민들의 참여를 높이고 체감할 수 있는 기후변화정책에는 어떠한 것들이 필요할까요? 많은 분들의 다양한 의견을 듣겟습니다.",2019-08-13~2020-03-03,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,제목,2019-07-25,종료,3,"청주의 기후 변화에 적응, 대응하기 위해 어떠한 정책들이 필요할까요?",2019.07.25,1,3,"급속한 산업 발전과 기술 성장은 현대인에게 편리한 생활환경을 제공했지만 이로 인한 각종 환경오염은 조금씩 우리의 생명과 안전을 위협해오고 있습니다. 지구온난화, 폭염, 집중호우 등 이상기후 현상은 지구가 보내오는 대표적인 경고메시지이기도 합니다. 지난 2017년 여름의 집중호우, 올해 2~3월에 발생한 고농도 미세먼지 등 최근 청주에서도 재난에 가까운 기후 변화의 영향을 받고 있습니다.
급변하는 기후 변화의 시대를 맞고 있는 청주시에서 이러한 기후 변화에 대처하기 위해 어떠한 정책들이 필요할 까요? 많은 분들의 다양한 의견을 듣겠습니다.",2019-07-25~2019-08-18,환경>대기,충청북도>청주시,#기후변화 #기후대응 #청주기후,
기후 변화,내용,2021-12-02,종료,0,(농촌진흥청) 농업환경과 먹거리안전 분야 기술개발을 위한 의견수렴,2021.12.02,0,0,"❍ 기후 변화는 식량안보 수준의 양·질적 악화를 가중시키고, 자연 자원 부족은 자원 확보를 위한 경쟁은 심화될 것으로 전망됩니다.
- 가뭄·홍수·열대폭풍우·폭염·산불과 같은 기후변화는 식량안보 수준을 양적·질적으로 악화시킬 것으로 예측
- 토지와 수자원 등의 자연 자원 부족으로 자원 확보를 위한 부문 간 경쟁 심화 및 음식물 쓰레기와 식품손실 발생 지속 전망
* 現 연간 13억 톤의 음식물 쓰레기와 식품 손실 발생
* 소매 단계에서 발생하는 음식물 쓰레기와 달리 식품 손실은 유통과정(예: 운송, 보관)에서 기술･지식･훈련부족 등으로 인해 발생
 
❍ 이에 농촌진흥청에서는 농업환경 변화 예측·대응과 안전 농식품 생산·보급 기술개발 분야 연구개발을 준비중에 있습니다.
- 농업 기후·환경변화에 따른 예측·대응 기술을 통한 그린 뉴딜 지원
- 농업부문 탄소중립 이행실적의 과학적 검증·평가 체계구축
- 비의도적 위해 예측·저감 기술 고도화를 통한 먹거리 안전 확보
 
❍ 급변하는 기후변화에 따른 농업환경의 변화를 예측 및 대응하고 농식품 안전 생산 및 보급에 기여할 수 있는 국민여러분의 의견을 듣고자 하오니 많은 참여 부탁드립니다.
 ",2021-12-02~2021-12-16,농림·해양·산림>농업·농촌,전라북도>전주시,#농업환경 #먹거리안전,
기후 변화,내용,2021-11-02,종료,0,농업환경과 먹거리안전 분야 기술개발을 위한 의견수렴,2021.11.02,0,0,"❍ 기후 변화는 식량안보 수준의 양·질적 악화를 가중시키고, 자연 자원 부족은 자원 확보를 위한 경쟁은 심화될 것으로 전망됩니다.
  - 가뭄·홍수·열대폭풍우·폭염·산불과 같은 기후변화는 식량안보 수준을 양적·질적으로 악화시킬 것으로 예측
  - 토지와 수자원 등의 자연 자원 부족으로 자원 확보를 위한 부문 간 경쟁 심화 및 음식물 쓰레기와 식품손실 발생 지속 전망
   * 現 연간 13억 톤의 음식물 쓰레기와 식품 손실 발생
   * 소매 단계에서 발생하는 음식물 쓰레기와 달리 식품 손실은 유통과정(예: 운송, 보관)에서 기술･지식･훈련부족 등으로 인해 발생
❍ 이에 농촌진흥청에서는 농업환경 변화 예측·대응과 안전 농식품 생산·보급 기술개발 분야 연구개발을 준비중에 있습니다.
 - 농업 기후·환경변화에 따른 예측·대응 기술을 통한 그린 뉴딜 지원
 - 농업부문 탄소중립 이행실적의 과학적 검증·평가 체계구축
 - 비의도적 위해 예측·저감 기술 고도화를 통한 먹거리 안전 확보
❍ 급변하는 기후변화에 따른 농업환경의 변화를 예측 및 대응하고 농식품 안전 생산 및 보급에 기여할 수 있는 국민여러분의 의견을 듣고자 하오니 많은 참여 부탁드립니다.
   ",2021-11-02~2021-11-16,농림·해양·산림>농업·농촌,전라북도>전주시,##기후변화 ##먹거리안전,
기후 변화,내용,2021-07-27,종료,9,[서울시 용산구] 폭염 대비 스마트 그늘막 설치·운영,2021.08.16,9,9,"■ 사업목적
   사물인터넷(IoT) 기술을 접목하여 온도와 바람 등 기후 변화에 따라 자동 개폐되는 스마트 그늘막을 설치하여 구민의 편의증진 및 사람 중심의 스마트 서비스 구현에 힘쓰고자 함
■ 사업개요
  ○ 사업기간 : 2021. 1월 ~ 2021. 9월
  ○ 사업규모 : 8개소 내외 설치
  ○ 사업위치 : 설치 대상지 현장 검토 및 관계 기관(부서) 협의 후 위치 선정
                (※ 코로나로 침체된 이태원로 및 횡단보도 우선 설치)
  ○ 사업내용 : 기후변화에 따라 자동개폐 가능한 스마트 그늘막 설치
    - 설치방법 : 신규 또는 기존 파라솔 그늘막을 스마트 그늘막으로 교체
      ․기존 그늘막은 그늘 필요지역에 이설 설치
 <스마트 그늘막>
○ 일출 후 일정기온 이상이 되면 자동으로 펼쳐짐
○ 풍속이 7m/s 이상 2초간 지속되면 자동으로 접힘
○ 더이상 풍속이 감지되지 않으면, 10분간 접힘 유지 후 자동으로 펼쳐짐
■ 추진계획
  ○ 2020. 9월     : 사업 방침 수립
  ○ 2021. 1~3월  : 설치 대상지 검토 및 관계 기관(부서) 협의
  ○ 2021. 4월     : 스마트 그늘막 설치
  ○ 2021. 5~9월  : 스마트 그늘막 운영
====================================
많은 의견 등록 바랍니다.",2021-08-16~2021-08-18,일반공공행정>자치행정,,#용산구,
기후 변화,내용,2021-08-03,종료,2,기후 변화에 대응하기 위해 준비할 것들,2021.08.03,2,2,"지구의 평균 온도가 상승하면서
폭우, 폭염 등 이상기후 현상이 연이어 발생하는 등
기후 위기에 직면한 상황입니다.
 
기후 변화와 이상 기후 현상에 대응하기 위해
대전 서구에서는 어떤 대책을 준비해야 할까요?",2021-08-03~2021-08-16,환경>기후·기상,,#이상기후 #기후변화 #지구온난화 #환경문제,
기후 변화,내용,2021-07-27,종료,26,[서울시 용산구] 폭염 대비 스마트 그늘막 설치·운영,2021.07.27,12,26,"■ 사업목적
   사물인터넷(IoT) 기술을 접목하여 온도와 바람 등 기후 변화에 따라 자동 개폐되는 스마트 그늘막을 설치하여 구민의 편의증진 및 사람 중심의 스마트 서비스 구현에 힘쓰고자 함
■ 사업개요
  ○ 사업기간 : 2021. 1월 ~ 2021. 9월
  ○ 사업규모 : 8개소 내외 설치
  ○ 사업위치 : 설치 대상지 현장 검토 및 관계 기관(부서) 협의 후 위치 선정
                (※ 코로나로 침체된 이태원로 및 횡단보도 우선 설치)
  ○ 사업내용 : 기후변화에 따라 자동개폐 가능한 스마트 그늘막 설치
    - 설치방법 : 신규 또는 기존 파라솔 그늘막을 스마트 그늘막으로 교체
      ․기존 그늘막은 그늘 필요지역에 이설 설치
 <스마트 그늘막>
○ 일출 후 일정기온 이상이 되면 자동으로 펼쳐짐
○ 풍속이 7m/s 이상 2초간 지속되면 자동으로 접힘
○ 더이상 풍속이 감지되지 않으면, 10분간 접힘 유지 후 자동으로 펼쳐짐
■ 추진계획
  ○ 2020. 9월     : 사업 방침 수립
  ○ 2021. 1~3월  : 설치 대상지 검토 및 관계 기관(부서) 협의
  ○ 2021. 4월     : 스마트 그늘막 설치
  ○ 2021. 5~9월  : 스마트 그늘막 운영
====================================
많은 의견 등록 바랍니다.",2021-07-27~2021-08-13,일반공공행정>자치행정,,#폭염 #안전관리 #스마트 #그늘막 #디지털뉴딜,
기후 변화,내용,2021-04-02,종료,11,(수정)'조금 불편한 삶을 위한 한 가지 다짐' 이벤트,2021.04.02,4,5,"제51주년 지구의 날을 맞아 연제구에서는 아래와 같은 이벤트를 진행합니다~~♬
기후 변화에 대응하는 다짐 한 가지의 인증사진을
#탄소_배출_줄이기_연제구와_함께
해시태그를 붙여 인스타그램 or 페이스북에 업로드하시면 추첨을 통해
편의점 1만원 상품권을 드립니다(당초 동백전에서 변경)
이벤트에 참여하신 분은 참여완료 투표 혹은 댓글 부탁드립니다
많은 참여 바랍니다~~
https://blog.naver.com/yeonjegu/222299035514
□ 응모 기간: 2021. 3. 26. (금) ~ 4. 11. (일)
□ 응모 방법: 기후 변화에 대응하는 다짐 한 가지의 인증사진을 #탄소_배출_줄이기_연제구와_함께 해시태그를 붙여 인스타그램이나 페이스북에 업로드
□ 당첨 상품 및 인원: 편의점 1만원 상품권 40명
□ 당첨자 발표: 2021. 4. 15. (목) - 인스타그램, 페이스북
□ 당첨자 연락처 확인: 2021. 4. 19. (월) 한
– 페이스북 메신저 또는 인스타그램 DM
※ 연락처 확인이 되지 않을 경우 당첨이 취소될 수 있습니다.
※ 사은품 지급을 위한 추가 정보 요청(이름/전화번호)
□ 상품 증정: 2021. 4. 23. (금) 한
□ 당첨자의 인증 사진은 추후 유튜브 영상으로 편집 후 공개될 수 있습니다.
□ 이벤트 응모 시 제공 동의한 개인정보는 이벤트 당첨자 대상 사은품 지급 목적 외에 일체 사용되지 않습니다.
 ",2021-04-02~2021-04-11,환경>기후·기상,부산광역시,#기후위기 #탄소중립 #탄소배출줄이기 #연제구와함께,
